Remove|| Speed0.05131059; Full 0.17592; smell3.858596
Remove|| Speed0.05848078; Full 0.1149679; smell16.27387
Remove|| Speed0.02729356; Full 0.06646293; smell13.31632
Remove|| Speed0.01988979; Full 0.1163003; smell15.66675
Add|| Speed0.2494103; Full 0.1114364; smell6.166991
Add|| Speed0.1733396; Full 0.5536122; smell2.474676
Add|| Speed0.07127337; Full 0.7774756; smell2.991284
Add|| Speed0.09075284; Full 0.1584127; smell3.178079
Add|| Speed0.1657298; Full 1.136047; smell4.586911
Add|| Speed0.2933553; Full 0.8812159; smell3.336225
Add|| Speed0.08493828; Full 0.5063897; smell7.257103
Add|| Speed0.0695843; Full 0.5490084; smell5.082091
Add|| Speed0.2051786; Full 0.9732217; smell2.16607
Add|| Speed0.1229739; Full 0.2253114; smell10.76996
Remove|| Speed0.08351341; Full 0.1138392; smell4.527986
Remove|| Speed0.05463728; Full 0.08382391; smell5.972832
Add|| Speed0.1444375; Full 0.09985949; smell11.81933
Add|| Speed0.03863235; Full 0.28901; smell2.929892
Add|| Speed0.05019026; Full 0.2679526; smell3.203959
Add|| Speed0.2237337; Full 0.1052899; smell3.892803
Add|| Speed0.0480446; Full 0.2410121; smell7.125975
Remove|| Speed0.05200466; Full 0.1520734; smell5.534382
Add|| Speed0.06452321; Full 0.2528929; smell12.37363
Remove|| Speed0.01897671; Full 0.1563344; smell6.909162
Remove|| Speed0.1791991; Full 0.08932622; smell5.419377
Remove|| Speed0.03131891; Full 0.04709072; smell7.963521
Add|| Speed0.08744284; Full 0.07885087; smell14.61787
Remove|| Speed0.1465634; Full 0.04520299; smell2.382488
Remove|| Speed0.02152935; Full 0.05228359; smell7.709357
Remove|| Speed0.1108947; Full 0.05899883; smell2.497618
Add|| Speed0.06981502; Full 0.58201; smell8.437387
Add|| Speed0.2538758; Full 0.1716557; smell11.09717
Add|| Speed0.1251117; Full 0.08310317; smell14.60347
Add|| Speed0.03976385; Full 0.3494351; smell3.307879
Add|| Speed0.1356744; Full 0.4039623; smell4.059524
Add|| Speed0.1524332; Full 0.2627763; smell5.713482
Add|| Speed0.1912359; Full 0.0850289; smell7.225487
Add|| Speed0.08915538; Full 0.2774833; smell12.0535
Add|| Speed0.1778808; Full 0.05797285; smell13.73809
Add|| Speed0.04600671; Full 0.2849567; smell9.529669
Add|| Speed0.07725933; Full 0.3760942; smell15.31334
Add|| Speed0.0660564; Full 0.07876991; smell7.512682
Add|| Speed0.427797; Full 0.09556317; smell12.9458
Add|| Speed0.1489966; Full 0.1097903; smell8.001841
Add|| Speed0.1933072; Full 0.5834996; smell3.476625
Add|| Speed0.07518957; Full 0.3531834; smell2.976591
Add|| Speed0.1546432; Full 1.282545; smell6.803801
Add|| Speed0.1212923; Full 0.6022212; smell4.880358
Add|| Speed0.108175; Full 0.1148883; smell6.563538
Add|| Speed0.1512398; Full 0.1110297; smell7.736944
Add|| Speed0.104249; Full 0.04725453; smell14.44747
Add|| Speed0.106851; Full 0.1180358; smell14.42655
Add|| Speed0.1668372; Full 0.3315128; smell3.757807
Add|| Speed0.1700946; Full 0.07526046; smell6.252081
