Creature ID,Birth Time,Death Time,Life Time,Generation,Speed,Smell Radius,Full,Angle Change
292,9046,9492,446,12,0.08054259,3.967444,4.017327,0.07559051
293,9046,9058,12,26,0.06421458,4.475357,0.6312345,0.2878016
294,9047,9061,14,15,0.2535289,2.155257,0.952606,0.1105322
295,9049,9373,324,16,0.07068316,2.974936,1.782284,0.1898007
296,9050,9264,214,15,0.05651971,13.24808,2.074975,0.1719353
297,9050,9054,4,16,0.3095583,1.984678,0.5377269,0.09072059
298,9051,9065,14,17,0.1389479,1.254419,0.6639525,0.07061896
299,9052,9088,36,9,0.04213345,1.57711,1.780084,0.1984749
300,9056,9101,45,17,0.04846787,3.760222,0.9565073,0.05012721
301,9056,9067,11,16,0.3232204,1.384795,1.233055,0.09820548
302,9057,9063,6,18,0.195373,1.315418,0.7577177,0.07245032
303,9063,9204,141,11,0.06409527,2.07275,2.136132,0.2241985
304,9068,9212,144,24,0.06470338,14.70698,1.60665,0.6329121
305,9070,9130,60,17,0.03361784,2.225444,2.423784,0.1473858
306,9071,9113,42,12,0.06992061,1.313454,2.923573,0.2997101
307,9071,9205,134,14,0.06768401,10.86527,1.864778,0.1567674
308,9071,9106,35,18,0.0408602,2.542191,1.160542,0.06695653
309,9076,9088,12,12,0.2582475,4.270303,2.819212,0.1336377
310,9076,9187,111,13,0.04077961,13.37755,2.893438,0.1391717
311,9077,9097,20,17,0.06288503,3.755877,1.515611,0.04655322
312,9079,9108,29,16,0.0571407,2.850245,1.383098,0.2183471
313,9080,9089,9,10,0.3394127,2.390564,1.293585,0.1750431
314,9080,9358,278,11,0.04935531,2.231255,2.384989,0.1565722
315,9081,9220,139,18,0.01368517,3.072663,0.6123408,0.3066484
316,9083,9112,29,11,0.2457981,2.167648,5.346327,0.1778994
317,9083,9106,23,24,0.05298685,22.31858,0.8473598,0.7185285
318,9083,9107,24,11,0.2612202,1.294709,1.793632,0.172095
319,9086,9182,96,15,0.04608519,7.855954,3.199109,0.1452964
320,9089,9541,452,12,0.05206463,2.911123,3.321658,0.1608951
321,9091,9869,778,12,0.08997212,3.344719,6.266607,0.1255284
322,9091,9097,6,12,0.4257253,0.6917031,1.354285,0.09756926
323,9092,9109,17,10,0.141061,3.3301,2.177458,0.1771596
324,9094,9222,128,9,0.06111239,1.168665,1.827495,0.1741607
325,9095,9128,33,11,0.08416842,2.982764,1.263688,0.1002411
326,9096,9233,137,16,0.08083706,12.74176,2.925689,0.1868713
327,9101,9342,241,16,0.08238212,8.291377,1.931547,0.1833439
328,9104,9468,364,12,0.06252865,1.267652,2.953532,0.1561226
329,9105,9132,27,12,0.04164294,1.664542,0.9550935,0.08491402
330,9105,9273,168,18,0.00673207,2.497248,1.096655,0.1787967
331,9106,9139,33,12,0.06547911,2.799764,1.528612,0.07237068
332,9106,9156,50,13,0.02068839,1.42518,1.044557,0.1250531
